position_title,Core Responsibilities,Required Skill,Deskripsi
insinyur ecommerce,ikut serta membuat rencana kerja triwulanan kegiatan mendukung sasaran dan atau strategi vendor pelanggan memberikan masukan pembuatan rencana pemeliharaan bergulir kegiatan berbulan-bulan sebelumnya berkontribusi kapasitas skalabilitas upaya perencanaan mengembangkan penerapan pedoman standar panduan rencana strategi infrastruktur memigrasi sistem perangkat lunak lama memanfaatkan teknologi web saat ini, pengalaman bertahun-tahun bekerja hcl commerce andor sterling manajemen pesanan pengalaman bertahun-tahun server aplikasi websphere instalasi serupa penyetelan kinerja pemahaman yang sangat baik weblogic websphere admin servernode manager komponen server terkelola konsep arsitektur termasuk pkitls ldapoud beberapa domain bertahun-tahun pengalaman alat penerapan otomatisasi misalnya ruby boneka koki jenkins pengetahuan yang kuat analisis penerapan wadah file log memahami kunci yang mendasari perusahaan teknologi java misalnya jms jdbc jndi termasuk dikonfigurasi pengetahuan kerja yang dikelola nginx pemahaman server web berbasis apache dns tcpip konsep jaringan penyeimbangan beban pengetahuan kerja yang baik linux pemahaman yang baik teknologi jee misalnya servlets jsps ejbs layanan web dll,"Deskripsi: Insinyur e-commerce merancang dan mengembangkan solusi teknis untuk platform jual beli online. Tugas mereka mencakup integrasi sistem pembayaran, pengelolaan keranjang belanja, dan pemeliharaan infrastruktur website untuk memastikan transaksi yang aman dan efisien. Mereka bekerja untuk menciptakan pengalaman belanja online yang mulus dan menarik.
Hardskill: Pemrograman web (PHP, JavaScript), penggunaan platform e-commerce seperti Magento atau Shopify, SEO, keamanan cyber.
Softskill: Kemampuan analitis, pemecahan masalah, keterampilan komunikasi, pemahaman bisnis e-commerce, adaptabilitas."
pengembang wordpress,Sebagai Pengembang Wordpress tanggung jawabnya mencakup merancang menerapkan dan mengelola situs web menggunakan Wordpress berkolaborasi dengan anggota tim kreatif mengembangkan frontend dan backend membuat plugin dan tema menjaga kualitas kode dan berkomunikasi dengan klien untuk pembaruan dan revisi proyek .,Keahlian di WordPress kemahiran dalam HTML CSS JavaScript jQuery pemahaman yang kuat tentang pengembangan situs web frontend dan backend pengalaman dengan alat debugging seperti Firebug dan Chrome Inspector keterampilan mendesain yang baik dan keterampilan komunikasi yang sangat baik.,"Deskripsi: Pengembang WordPress bertanggung jawab untuk menciptakan, menyesuaikan, dan mengelola situs web menggunakan platform WordPress. Mereka bekerja pada tema dan plugin, mengoptimalkan performa situs, dan memastikan keamanan situs. Pengembang WordPress sering berinteraksi dengan klien untuk mengimplementasikan desain web dan fungsi sesuai dengan spesifikasi klien.
Hardskill: Pengembangan tema dan plugin, PHP, CSS, JavaScript, pemahaman SEO.
Softskill: Kreativitas, pemecahan masalah, kemampuan komunikasi, perhatian terhadap detail, kerja sama tim."
desainer grafis,tim kerja lintas fungsi memberikan konten kreatif berkualitas tinggi branding produk sonneman di media cetak digital e-commerce sosial memimpin tim outsourcing desainer junior,pengalaman bertahun-tahun keahlian desainer grafis adobe creative suite pengetahuan prinsip-prinsip uxui platform media sosial memahami visualisasi ruang arsitektur,"Deskripsi: Desainer grafis menciptakan konsep visual untuk mengkomunikasikan ide yang menginspirasi, menginformasikan, atau memikat konsumen. Mereka menggunakan berbagai elemen desain seperti tipografi, ilustrasi, warna, dan layout untuk menghasilkan desain yang efektif untuk berbagai aplikasi, termasuk iklan, brosur, majalah, dan laporan perusahaan.
Hardskill: Penguasaan alat desain seperti Adobe Creative Suite (Photoshop, Illustrator, InDesign), pemahaman dasar tentang teori warna dan komposisi, keterampilan layout.
Softskill: Kreativitas, komunikasi visual yang baik, kemampuan untuk menerima dan memanfaatkan umpan balik, manajemen waktu, kerja tim."
insinyur pengemasan windows, penerapan paket aplikasi desktop windows menggunakan alat seperti flexera admin studio vbscript powershell appv manajer konfigurasi microsoft berkolaborasi tim infrastruktur menyediakan solusi pengemasan yang baik secara teknis memahami interaksi aplikasi seperti variabel registry com pengaturan pengguna menerjemahkan persyaratan bisnis solusi pengemasan teknis yang elegan keterampilan teknis windows yang kuat lingkungan virtual fisik, keahlian pengemasan aplikasi desktop windows menggunakan alat seperti flexera admin studio vbscript powershell appv manajer konfigurasi microsoft pengalaman berkolaborasi tim infrastruktur pengetahuan sistem windows termasuk variabel registry com pengaturan aplikasi kemampuan menerjemahkan kebutuhan bisnis solusi teknis keterampilan teknis windows yang kuat,"Deskripsi: Insinyur pengemasan Windows bertugas membuat paket instalasi software yang memudahkan distribusi, instalasi, dan konfigurasi software di sistem operasi Windows. Mereka mengembangkan skrip dan menggunakan alat seperti InstallShield untuk menciptakan penginstal yang dapat dijalankan dengan mudah oleh pengguna akhir tanpa konfigurasi tambahan.
Hardskill: Penggunaan alat pengemasan seperti InstallShield, pemahaman scripting (PowerShell), pemahaman mendalam tentang arsitektur Windows.
Softskill: Kemampuan analitis, perhatian terhadap detail, pemecahan masalah, komunikasi yang efektif, kemampuan adaptasi."
analitik teknik, mengembangkan pemeliharaan infrastruktur data yang dapat diskalakan mendukung pembelajaran mesin analitik perencanaan desain analisis teknis terkemuka membangun produk perangkat lunak yang kuat mengelola tim pengembangan perangkat lunak mendorong peningkatan proses yang gesit, berpengalaman mengelola tim pengembangan perangkat lunak memimpin desain analisis teknis mengevaluasi pengorbanan teknologi kemahiran seperti aws redshift apache airflow python docker kemampuan melayani mentor teknis,"Deskripsi: Analitik teknik menggunakan keterampilan analitis dan alat teknologi untuk mengembangkan solusi yang meningkatkan efisiensi dan efektivitas proses rekayasa. Mereka bekerja dalam berbagai disiplin, termasuk manufaktur, mekanik, dan elektronik, sering kali menggunakan simulasi dan pemodelan untuk menguji dan mengoptimalkan desain sebelum penerapan praktis.
Hardskill: Pemrograman (Python, MATLAB), pemodelan statistik, simulasi, pemahaman teknis mendalam tentang disiplin spesifik.
Softskill: Kemampuan analitis yang kuat, pemecahan masalah, komunikasi, kerjasama tim, kemampuan untuk bekerja di bawah tekanan."
pengembang tertanam, penelitian yang bertanggung jawab pengembangan desain sistem perangkat lunak komputer pengembangan produk perangkat keras berpartisipasi dalam fase siklus hidup pengembangan perangkat lunak termasuk analisis persyaratan implementasi desain uji integrasi produk perangkat lunak, pengalaman c dan atau ada sistem operasi waktu nyata rekayasa perangkat lunak tertanam,"Deskripsi: Pengembang tertanam mengembangkan perangkat lunak yang beroperasi pada perangkat keras tertanam. Ini termasuk sistem seperti mikrokontroler, sensor, dan aktuator. Tugas utama mereka adalah menulis kode yang efisien dan hemat daya yang dapat melakukan tugas-tugas dalam keterbatasan perangkat keras tertanam.
Hardskill: Pemrograman dalam bahasa seperti C, C++, dan Assembly, pemahaman tentang mikrokontroler dan perangkat keras, pengembangan firmware.
Softskill: Ketelitian, kemampuan untuk bekerja dengan tim lintas disiplin, pemecahan masalah, inovasi, manajemen proyek."
insinyur tertanam,Sebagai Insinyur Tertanam tanggung jawabnya mencakup merancang dan mengembangkan produk perangkat lunak melakukan analisis persyaratan mengimplementasikan perangkat lunak mengintegrasikan dan menguji sistem mengembangkan prosedur pengujian dan dokumentasi dan berkolaborasi dengan tim lintas fungsi sepanjang siklus hidup pengembangan perangkat lunak.,Pengalaman rekayasa perangkat lunak tertanam selama bertahun-tahun kemahiran dalam bahasa pemrograman C dan/atau Ada pengalaman dengan sistem operasi real-time gelar BS dalam Ilmu Komputer Teknik Elektro atau bidang terkait dan kemampuan untuk mendapatkan izin keamanan Rahasia.,"Deskripsi: Insinyur tertanam bertanggung jawab atas desain dan implementasi sistem elektronik tertanam. Tidak hanya berfokus pada pengembangan perangkat lunak, mereka juga terlibat dalam rancangan hardware. Tugas mereka mencakup integrasi perangkat lunak dan perangkat keras untuk menciptakan sistem yang robust dan efisien.
Hardskill: Desain elektronik, pemrograman mikrokontroler, pengembangan PCB (Printed Circuit Board), analisis sistem.
Softskill: Kemampuan analitis, kerja sama tim, kreativitas dalam pemecahan masalah, komunikasi teknis, ketahanan dalam menghadapi tantangan."
solusi perangkat lunak penjualan, mencapai hasil penjualan dalam praktik kebijakan perusahaan menetapkan rencana penjualan anggaran mendelegasikan penugasan bawahan bertanggung jawab mengembangkan strategi penjualan jangka panjang tahunan, kepemimpinan penjualan kerja sama tim keterampilan eksekusi pengalaman saas menjual saas portofolio pengetahuan keahlian pasar kemampuan memimpin matriks organisasi catatan penjualan yang kuat,"Deskripsi: Insinyur solusi perangkat lunak penjualan mengembangkan dan mengimplementasikan solusi teknologi yang mendukung fungsi penjualan. Tugas mereka meliputi mengintegrasi perangkat lunak CRM dengan alat-alat lain, mengoptimalkan proses penjualan melalui automasi, dan memastikan bahwa solusi teknologi mendukung strategi penjualan secara keseluruhan.
Hardskill: Pemrograman, pemahaman CRM dan platform penjualan, analisis data, integrasi sistem.
Softskill: Pemahaman bisnis yang baik, kemampuan komunikasi, pemecahan masalah, kerjasama tim, keterampilan presentasi."
analis programmer,Sebagai Analis Programmer tanggung jawabnya mencakup memastikan perangkat lunak aplikasi FMS memenuhi persyaratan mengembangkan komponen dan penyempurnaan baru menyelesaikan masalah produksi mendukung lingkungan pengujian dan non-produksi merancang dan melaksanakan pengujian teknis memecahkan masalah aplikasi mengumpulkan persyaratan mengoordinasikan implementasi perangkat lunak dan menerjemahkan metodologi ke dalam kode,Kemahiran dalam COBOL COBOL II JCL JCL Procs IBM Utilities Sync Sort Utility File Aid Utility CICS SQL SPUFI QMF Utilities VSAM TSO ISPF OS MVS dan pengalaman pemrograman R selama bertahun-tahun Kemampuan untuk menggunakan paket Dplyr dan Testthat R membaca dan memahami kode SAS dan pengalaman dengan SQL sangat membantu.,"Deskripsi: Analis programmer mengkombinasikan keterampilan pemrograman dengan analisis untuk mengembangkan dan mendukung sistem informasi. Tugas mereka meliputi merancang perangkat lunak, menulis kode, dan menganalisis serta menguji perangkat lunak untuk memastikan bahwa sistem memenuhi kebutuhan bisnis.
Hardskill: Pemrograman dalam berbagai bahasa (Java, .NET, Python), database (SQL), analisis sistem.
Softskill: Kemampuan analitis, pemecahan masalah, kerjasama tim, komunikasi yang efektif, perhatian terhadap detail."
insinyur keamanan data, inovasi desain arsitek operasi solusi analitik perilaku pengguna utama insinyur kolaborasi ueba bertindak perusahaan otoritas sistem ueba, bs ilmu komputer yang setara pengalaman keahlian exabeam teknologi ueba alat siem seperti splunk mengembangkan peningkatan model ueba aturan dasbor penerapan konfigurasi pemeliharaan platform ueba perusahaan besar kemampuan menerjemahkan kasus penggunaan aturan ueba,"Deskripsi: Insinyur keamanan data bertanggung jawab untuk melindungi data dan sistem informasi dari serangan siber. Mereka mengembangkan kebijakan keamanan, mengimplementasikan teknologi keamanan, dan memantau jaringan untuk deteksi ancaman. Tugas mereka penting dalam mencegah kebocoran data dan memastikan keamanan informasi.
Hardskill: Keamanan jaringan, enkripsi, forensic digital, pemrograman keamanan.
Softskill: Kemampuan analitis, kepekaan terhadap keamanan, kemampuan untuk bekerja di bawah tekanan, pemecahan masalah, komunikasi yang baik."
